transaction_id,customer_id,date,product_id,category,price,quantity,promo_applied,total_amount,year,month,day_of_week,quarter,season
T0,C103,2022-10-06,P10,Beauty,42.87,4,True,171.48,2022,10,3,4,4
T1,C436,2022-09-08,P33,Home,952.2,3,False,2856.6000000000004,2022,9,3,3,4
T2,C861,2022-11-06,P7,Home,506.48,4,False,2025.92,2022,11,6,4,4
T3,C271,2023-12-21,P3,Clothing,507.5,1,False,507.5,2023,12,3,4,1
T4,C107,2022-05-20,P14,Electronics,924.2,5,False,4621.0,2022,5,4,2,2
T5,C72,2023-06-30,P44,Clothing,297.02,5,True,1485.1,2023,6,4,2,3
T6,C701,2023-06-14,P46,Beauty,338.79,1,False,338.79,2023,6,2,2,3
T7,C21,2022-02-26,P61,Electronics,659.78,5,False,3298.8999999999996,2022,2,5,1,1
T8,C615,2022-04-22,P36,Clothing,787.32,4,True,3149.28,2022,4,4,2,2
T9,C122,2022-01-05,P13,Beauty,702.32,5,True,3511.6000000000004,2022,1,2,1,1
T10,C467,2023-02-14,P16,Electronics,790.83,5,False,3954.15,2023,2,1,1,1
T11,C215,2023-02-18,P80,Sports,579.36,4,False,2317.44,2023,2,5,1,1
T12,C331,2022-07-01,P5,Sports,864.2,5,False,4321.0,2022,7,4,3,3
T13,C459,2022-01-13,P89,Clothing,554.61,4,False,2218.44,2022,1,3,1,1
T14,C88,2022-12-05,P38,Home,237.05,3,False,711.1500000000001,2022,12,0,4,1
T15,C373,2022-09-16,P50,Electronics,546.28,3,False,1638.84,2022,9,4,3,4
T16,C100,2022-03-31,P38,Clothing,715.82,5,True,3579.1000000000004,2022,3,3,1,2
T17,C872,2023-09-08,P56,Home,657.04,3,False,1971.12,2023,9,4,3,4
T18,C664,2023-11-29,P63,Home,250.59,5,True,1252.95,2023,11,2,4,4
T19,C131,2022-09-07,P48,Electronics,50.67,3,True,152.01,2022,9,2,3,4
T20,C662,2022-09-12,P90,Electronics,259.96,5,False,1299.8,2022,9,0,3,4
T21,C309,2023-08-11,P59,Home,984.2,2,True,1968.4,2023,8,4,3,3
T22,C770,2022-04-18,P77,Beauty,192.62,1,False,192.62,2022,4,0,2,2
T23,C344,2023-10-30,P44,Clothing,469.73,3,False,1409.19,2023,10,0,4,4
T24,C492,2023-08-17,P90,Electronics,641.96,4,True,2567.84,2023,8,3,3,3
T25,C414,2023-08-12,P55,Home,880.68,1,False,880.68,2023,8,5,3,3
T26,C806,2023-04-30,P55,Beauty,762.66,5,False,3813.2999999999997,2023,4,6,2,2
T27,C386,2022-09-15,P1,Sports,909.86,1,False,909.86,2022,9,3,3,4
T28,C192,2023-10-01,P8,Home,608.34,4,False,2433.36,2023,10,6,4,4
T29,C956,2022-10-09,P4,Beauty,866.67,4,False,3466.68,2022,10,6,4,4
T30,C277,2022-03-29,P85,Sports,271.2,5,True,1356.0,2022,3,1,1,2
T31,C161,2022-07-23,P86,Beauty,436.26,3,True,1308.78,2022,7,5,3,3
T32,C460,2022-01-16,P53,Electronics,845.33,3,False,2535.9900000000002,2022,1,6,1,1
T33,C314,2022-05-31,P58,Home,332.31,2,False,664.62,2022,5,1,2,2
T34,C22,2022-09-11,P37,Sports,872.51,4,False,3490.04,2022,9,6,3,4
T35,C253,2022-07-07,P49,Beauty,369.48,2,False,738.96,2022,7,3,3,3
T36,C748,2022-11-25,P67,Sports,369.76,4,True,1479.04,2022,11,4,4,4
T37,C857,2023-06-28,P19,Clothing,315.94,2,True,631.88,2023,6,2,2,3
T38,C561,2023-02-01,P1,Home,551.47,3,False,1654.41,2023,2,2,1,1
T39,C475,2023-06-01,P29,Electronics,137.78,4,False,551.12,2023,6,3,2,3
T40,C59,2023-04-04,P87,Sports,46.24,3,True,138.72,2023,4,1,2,2
T41,C511,2022-11-26,P33,Beauty,898.44,1,False,898.44,2022,11,5,4,4
T42,C682,2022-06-18,P52,Sports,929.65,3,False,2788.95,2022,6,5,2,3
T43,C476,2023-11-24,P41,Beauty,85.41,4,False,341.64,2023,11,4,4,4
T44,C700,2023-01-01,P23,Sports,554.2,1,False,554.2,2023,1,6,1,1
T45,C976,2022-06-27,P5,Electronics,544.29,2,False,1088.58,2022,6,0,2,3
